d01 1030,1768
decis 34,2692|34,5232|34,6208|34,10234|34,12102|34,15688|41,2448|41,3566|41,4126|41,4723|48,2685|48,2802|48,2876|48,3055|48,4704|55,1124|55,1291|55,1792|55,2508|55,3586|55,5433|56,6660|56,7778|56,8338|56,8935|58,1732|58,6122|58,6765|58,6974|58,8549|61,5476|63,2172|65,1805|75,2833|78,2551|78,4465|78,6951|78,7130|79,5248|88,3711|99,5415|99,8180|99,10221|99,15565|99,21089|99,21626|104,7070|104,8257|115,1978|115,3350|115,3634|115,4022|115,4157|116,1615|116,1880|116,2715|116,2851|116,2940|116,3503|116,3707|119,986|124,5946|128,575|129,2262|129,3155|129,3634|129,4022|129,4157|139,3735|139,4270|139,5732|139,6675|139,11455|144,1153|144,7144|144,8797|144,8826|144,15944|144,17522|161,2417|164,3487|164,4752|164,5126|164,6391|164,6671|164,9878|169,379|169,942|169,1224|169,1448|169,1512|178,4724|201,2609|201,2643|218,1348|227,1856|243,3057|243,3754|243,3863|243,3932|243,4198|243,4579|247,2487|256,8887|256,13443|259,4465|259,7881|259,8538|267,2073|267,3250|267,3729|267,4117|267,4252|277,612|277,4404|277,9678|282,6641|293,5496|293,7769|293,9281|293,11550|298,3106|304,1759|304,1869|307,1783|307,2009|307,4795|307,6060|307,6434|307,7699|307,7979|307,9619|311,6381|311,7547|315,1569|315,3620|315,3861|318,3894|319,6405|319,6676|326,1310|349,6222|353,1783|353,2009|353,4795|353,6059|353,6645|353,7543|353,7979|353,8979|361,6381|361,7831|368,2409|368,7782|368,9088|389,1129|389,5262|389,6792|389,9687|389,11146|389,14061|393,2227|393,2256|418,7747|418,7799|418,7956|418,9334|421,1823|421,1967|421,2036|421,9953|421,11745|437,5998|445,5515|445,5932|451,3232|451,3799|455,1367|469,560|469,2569|469,3059|469,3411|469,5521|469,6629|471,6173|471,9114|471,10056|471,10227|471,10301|471,15026|471,16639|471,18425|478,2577|478,4761|478,7230|478,7252|478,7904|478,9352|478,9866|479,6180|479,8453|479,9809|479,12078|482,1503|482,1729|482,4368|482,5632|482,6218|482,7116|482,7552|482,8735|485,8160|485,9160|500,2655|500,5714|500,7258|500,7502|500,8312|501,3518|506,1507|507,8872|507,13428|511,2769|511,2917|511,3259|511,3461|511,5263|520,2389|522,2006|522,2535|530,2171|532,7368|544,3944|544,4388|544,4817|544,5322|550,1531|550,3267|550,7345|550,7710|550,7966|550,7995|550,8345|550,11461|550,13494|550,14032|550,15534|550,16488|550,17532|550,18861|550,19835|550,20014|550,20043|550,22549|550,24765|550,25130|550,26968|552,10113|552,19440|554,8160|554,9326|559,3495|559,13209|559,16842|559,19046|559,19664|559,19725|563,6180|563,8453|563,9965|563,12234|565,1249|565,1819|568,3805|585,3771|588,1539|588,2976|594,6660|594,7641|594,8201|594,8798|602,2769|602,2917|602,3259|602,3461|602,5095|605,351|605,1223|605,3770|612,2811|612,6235|626,3495|626,5674|631,1807|631,4917|636,3361|636,6935|655,5629|662,857|663,5515|663,5932|665,1551|665,1725|667,5987|677,785|680,4101|680,4869|680,11007|680,11195|687,5228|687,6342|687,6458|687,6596|687,7200|687,10463|687,11102|701,1090|707,11097|707,11179|707,12917|707,21595|707,22815|707,24108|707,24472|707,26002|707,28894|707,29107|707,29515|707,29928|707,31388|707,40894|707,45780|707,50498|732,5327|732,6864|735,3518|735,4811|735,5066|735,5200|740,3448|743,8311|743,9958|743,11275|743,11390|743,11809|743,11963|743,12494|743,12785|743,13739|743,14158|743,16731|770,2586|770,6328|770,7152|770,8841|770,9892|776,5869|782,1443|784,719|787,2007|787,5510|788,1732|788,6122|788,6765|788,6974|788,8549|800,1397|800,1589|800,1783|800,7981|806,4268|807,3837|807,6807|811,6638|811,9204|811,23109|811,27338|811,27887|811,28027|820,1135|820,5268|820,6798|820,9693|820,11152|820,14632|823,2598|823,6566|823,8255|823,9306|823,10145|835,2389|836,2226|836,2413|836,2472|836,9201|836,15219|836,19304|836,21478|837,478|837,1584|857,6454|874,5611|874,7108|874,9126|874,10208|893,2992|893,6065|902,2025|902,2069|904,1601|904,3279|912,2448|912,3429|912,3989|912,4586|913,2333|913,2691|913,3097|922,2574|930,4959|930,5742|930,6586|930,8644|933,1606|933,4984|933,6020|933,7046|933,7421|936,376|936,965|936,1074|936,2650|936,3365|936,3976|968,3194|968,3245|968,3598|968,3658|982,14541|988,2139|988,3210|1017,5135|1017,6135|1032,5050|1032,7769|1032,10061|1032,11146|1033,2409|1033,7782|1033,10552|1034,3057|1034,3754|1034,3863|1034,3932|1034,4521|1034,4902|1047,3890|1047,4752|1047,5126|1047,6391|1047,7016|1047,8146|1053,3495|1053,13724|1053,17320|1053,19045|1053,20142|1053,20203|1060,3464|1060,4818|1073,2660|1073,5571|1077,6484|1081,3401|1081,4246|1081,5231|1081,6751|1081,7086|1081,9275|1081,9555|1081,12034|1081,12421|1081,13183|1081,14365|1082,1503|1082,1729|1082,4368|1082,5633|1082,6007|1082,7272|1082,7552|1082,10759|1086,1052|1087,5698|1089,5135|1089,6135|1091,5475|1096,657|1096,774|1096,848|1096,1027|1096,1959|1097,1277|1097,2455|1097,2686|1097,4028|1097,4218|1097,7417|1097,8595|1097,8826|1097,10168|1097,10358|1097,10708|1097,11886|1097,12117|1097,13459|1097,13649|1111,8277|1111,8367|1111,8574|1111,12009|1111,12513|1111,13518|1111,15415|1111,19811|1111,21458|1113,1030|1113,6452|1113,7528|1113,9425|1113,9550|1113,9828|1113,10767|1113,20969|1113,24332|1113,26792|1113,30736|1113,36334|1113,40495|1113,41648|1113,43592|1113,46057|1116,4760|1123,549|1123,654|1157,8893|1157,10973|1158,2174|1161,929|1161,4714|1161,5370|1166,2172|1167,1789|1168,997|1171,2762|1171,3009|1184,2722|1184,3213|1186,1055|1186,1191|1186,5971|1192,6641|1197,2625|1198,2551|1198,4465|1198,6951|1198,7523|1199,2681|1199,4264|1229,11455|1235,10912|1235,13007|1235,13136|1235,13526|1235,13933|1235,18112|1239,5248|1245,1983|1245,3286|1245,4374|1248,2089|1248,6086|1248,6108|1248,6340|1248,7904|1248,9352|1248,9866|1262,2400|1262,2704|1276,2139|1276,3210|1279,4271|1279,6236|1279,7386|1284,2357|1284,3081|1284,3729|1284,3984|1284,4119
decisionstump 104,4794|701,3444|701,4069
deck 408,1000|1150,1999
deckchair 463,2999|463,3930|463,4495
decker 368,2890|1033,2890
declar 188,3422|245,2191|559,13517|1053,14032|1296,1672|1298,2099|1299,2099|1301,3992|1307,1672
declin 80,501|592,3522
decod 298,2943|636,3942|636,3982
decompos 178,3863|740,6355|931,9373
decomposit 13,1514|58,3172|99,1466|99,6131|112,6688|169,3775|178,3943|178,4005|282,2019|478,1102|478,3510|500,3399|500,9958|552,22034|552,22333|552,22452|746,9685|776,8373|788,3172|801,3778|801,4598|801,11101|836,1049|836,15705|839,3930|930,3840|936,2851|1192,2019|1235,1121|1248,1102|1248,3022
decor 1134,1019|1134,1705
decorrel 643,4601|643,4860
decost 78,2760|78,2867|112,5403|144,2134|144,2618|520,1895|520,2002|530,531|530,1015|746,2750|835,1895|835,2002|1198,2760|1198,2867
decoy 504,560
decre 1136,3056
decreas 116,2360|139,6076|178,1488|186,1020|186,1466|227,2122|239,5051|421,7664|488,1583|550,27947|550,28590|707,23224|707,30935|740,2041|784,985|787,3623|878,3458|889,2971|933,14437|933,16137|1111,23841|1113,25090|1113,25141|1113,25239|1113,25294|1144,4647|1144,6057|1257,1172
deden 34,19610|164,8289|307,10940|353,10300|389,17983|482,10056|820,18554|893,3511|988,3981|1047,9467|1081,10769|1082,9170|1113,37162|1276,3348
dedic 8,2928|8,2999|14,1580|152,2231|1116,369
deduct 901,137
dedupl 1013,409
deed 152,1513|152,1820
deem 314,1544|314,2272|511,1156|602,1156|1017,1283|1089,1283
deep 92,844|92,1665|92,1767|218,1223|218,2187|218,2365|256,6356|256,6724|256,7099|296,127|311,5327|320,2520|323,1903|323,2204|323,4066|340,2814|361,5476|398,1768|418,7518|418,7702|418,7763|445,4956|455,1242|455,2155|455,2332|471,7351|485,7255|507,6341|507,6709|507,7084|525,1653|525,2161|554,7106|663,4956|707,15598|707,15820|707,15848|707,15937|707,16018|707,16080|713,2448|721,572|721,940|721,1793|732,3912|732,4280|732,5173|744,2807|970,1406|970,1961|982,3489|982,3742|982,3847|1017,4230|1050,1463|1073,4973|1089,3898|1157,6362|1157,6730|1157,7105|1229,5411
deepsdavid 707,16155
deer 325,1181
def 436,1256|436,1300|436,1344|436,1388|436,1432|436,1476|436,1520|436,1564
default 96,1492|96,1547|96,1676|134,723|277,6030|282,7030|422,2162|467,4117|511,922|532,4792|602,922|787,960|787,1440|796,37|796,281|796,423|796,505|796,1185|796,1267|796,1413|796,1552|796,1670|796,1708|796,1780|796,2217|796,2292|796,3762|796,3989|963,116|1111,17712|1161,2612|1161,2635|1184,2817|1192,7030|1302,6787|1302,6899|1302,9592|1303,1880
default_features_1059_track 422,3159
default_plus_chromatic_features_1059_track 422,3355
defaultguido 532,5991
defaultkai 1111,10940
defaultyoav 550,11409
defect 13,459|13,1149|109,1626|109,1649|545,2106|743,5931|743,5954|1060,1837|1273,1626|1273,1649
defect_in_the_network_of_trolleybus 545,2941
defenc 687,10157|893,5430|988,3694|1111,18740|1276,4270
defferrard 700,875|700,2047
defin 6,1338|6,2446|7,2390|9,1338|9,2446|20,3797|34,14380|61,2429|79,2792|99,10419|99,22809|99,22862|99,22913|124,4357|124,4714|139,6873|144,2804|144,16222|195,1432|201,3914|201,4281|222,1843|315,3057|389,20800|421,14214|436,1262|436,1306|436,1350|436,1394|436,1438|436,1482|436,1526|436,1570|478,5708|478,6245|478,6755|478,16085|509,1843|552,13191|625,1897|645,2307|667,2744|677,630|707,17079|707,28777|707,29820|707,40787|707,41512|715,3637|723,1165|768,1497|776,408|807,3502|812,1723|812,1912|812,2078|812,2213|812,2405|812,2620|820,13324|827,1025|827,1474|847,3729|847,4674|865,1106|883,5683|920,1936|920,2007|920,2355|920,2419|920,2472|920,2660|920,2929|931,8826|935,3455|976,5254|976,6279|982,5460|982,7957|1057,5113|1057,6113|1087,2744|1097,4467|1097,4786|1097,5079|1111,15561|1113,12243|1113,25508|1113,39527|1123,930|1127,1701|1127,3687|1127,4335|1140,7539|1145,3895|1235,15883|1235,15936|1235,15987|1239,2792|1248,5101|1248,5611|1248,7287|1248,14041|1302,6959
definit 47,4177|47,5143|48,2495|202,1957|228,1377|282,1559|315,2254|328,2937|436,1235|485,1508|554,1508|559,9748|640,3111|640,3134|645,2423|680,1800|707,36979|743,3693|780,368|807,1655|882,2989|968,1398|1053,9748|1192,1559|1202,2371|1229,1158|1229,1177|1258,1207
deflect 825,3145
deform 576,2687|1060,1499
defu 161,2492
deg 61,4014|128,1754|368,4415|368,4429|648,2375|762,6158|1033,4415|1033,4429|1081,1645
degener 559,12402|1053,12917
degli 68,966|152,1107|199,986|199,1162|312,1060|440,1053|630,990|1084,1053|1084,1159|1084,1283
degrad 56,2754|467,5233|478,4438|594,2754|847,1338|889,4511|916,1977|933,1736|1059,3228|1084,2140|1084,2179|1084,2230|1248,3891|1279,3342
degradesiñaki 99,16954
degre 48,1313|48,1382|52,4766|52,4891|52,4968|52,5050|78,1510|78,1543|85,4449|136,2042|136,2115|136,2202|149,10498|149,10661|208,1685|208,1741|220,1274|220,2098|222,1616|222,1996|222,3684|222,3845|222,4057|254,2603|256,723|256,762|274,5495|274,6118|304,472|304,2011|304,2587|304,2687|304,2797|304,3181|311,3569|311,3608|318,1644|322,11226|328,2530|355,761|355,800|361,3569|361,3608|368,3281|368,3980|368,4162|368,6145|398,3382|405,2142|405,3342|405,3366|418,1558|418,1597|421,17234|443,1327|443,1362|459,2552|471,2755|471,2794|478,3207|478,3220|478,3236|478,3252|478,3268|478,3436|485,5348|485,5387|507,708|507,747|509,1616|509,1996|509,3684|509,3845|509,4057|532,6289|550,5587|554,5348|554,5387|579,1356|579,1395|655,3749|655,3788|655,3807|707,1069|707,1108|737,2006|774,2605|801,12633|806,5140|806,5179|825,2793|857,4984|860,5449|860,5542|860,6044|923,2136|923,2210|923,2298|929,1379|982,654|982,693|1017,2323|1017,2362|1033,3281|1033,3980|1033,4162|1033,6145|1038,1746|1038,1813|1061,7622|1073,3223|1073,3262|1077,5014|1089,2323|1089,2362|1111,7220|1144,1634|1145,7876|1157,729|1157,768|1161,2587|1177,1762|1177,5567|1177,5679|1177,5791|1177,5903|1177,6174|1177,6286|1198,1510|1198,1543|1229,4553|1229,4592|1248,2719|1248,2732|1248,2748|1248,2764|1248,2780|1248,2948|1253,2894|1265,1302
deh 1040,903
dehasp 916,4871|916,5138|916,5430|1126,3921|1126,5391
dehenalaod 1028,1342
dehghanizadeh 1237,690|1237,870|1237,2624|1237,3321
dehnavi 564,870
dehouch 1040,844|1040,1595|1040,1854
dehydr 1144,6759|1144,6917
dei 405,922|405,1062
deigo 63,911|78,951|126,956|614,956|1166,911|1198,951
dejong 202,3558
dekg98 1235,3565
del 112,5087|201,932|420,1234|463,8605|463,8855|463,10634|463,12847|463,13152|500,4042|746,3741|776,1206|836,6562|885,2138|952,2289
delay 7,2074|32,207|349,2547|437,2547|489,202|498,1651|498,1710|498,3264|498,3279|605,398|605,1103|605,3758|722,187|758,205|796,3115|796,3148|796,3189|796,3225
delay_fastest 313,1348
delectronica 931,1572
delet 139,9857|139,9897|144,14631|227,4373|227,4443|227,4502|227,6748|227,6818|227,6887|478,14570|552,9920|552,9990|552,10049|552,21833|552,21903|552,21972|707,52014|790,1150|1113,5756|1248,12526
delft 351,2440|441,353|441,832|441,1210|441,1291|441,2100|1271,783|1271,838|1271,3454
delhi 178,802|178,4947|215,1268|665,864|899,2927|899,4215|1295,708|1295,815|1301,1379
deli 973,2619|973,4651
deliber 34,10974|389,10427|707,22480|787,4380|820,10433|933,6917|1111,14837|1113,21709|1235,9350
delicatessen 492,1321|492,1364|492,1831
delici 30,2214|30,2330|30,2379
deliciousmil 30,37|30,336|30,1666|30,2127|30,5820|1252,116
delicioust140 30,568|30,1266|30,2271
delil 25,4456|25,5309|274,1884|274,2023|274,3942|274,6260|274,6531|274,6960
delimit 114,3102|204,2752|205,3121|306,1523|396,2186|396,2952|426,1976|426,2704|478,14341|534,2977|606,1523|916,1583|916,2412|927,1048|1092,2844|1126,1581|1126,2440|1203,2752|1248,12297|1283,1976|1283,2704|1302,9682
deliv 931,5781|1100,2449|1100,2795|1100,3208|1107,1013|1296,983|1307,983
deliver 1140,6770
deliveri 149,2856|715,2302|760,1395|775,3056|810,3035|847,1837|851,4349|851,4476|851,7653|851,7780|851,10957|851,11084|851,14195|851,14319|889,1570|902,526|902,1194|902,1211|902,1271|902,1333|902,1570|902,1611|1140,7091|1295,896|1296,716|1300,588|1300,1897|1307,716
dell 58,3847|79,4635|115,2191|129,1946|267,2286|282,2292|478,3170|552,5206|552,17078|552,22168|667,5184|740,2246|776,4145|776,8507|776,10840|788,3847|801,4345|822,3197|907,6482|1087,5085|1124,6482|1192,3214|1235,2944|1239,4635|1248,2682|1284,2041
della 552,17136|552,22109|776,8448|776,10898
delsi 839,497|839,1687|935,540|935,2287
delta 178,1041|581,3165|765,3165|883,3980|883,3990|883,3996|982,17594
delta0 673,3207
delta1 673,3215
delta12 673,3227
delv 418,10543|552,17897|552,17939|732,14422|732,14464
dem 445,5652|663,5652|732,5845
demand 253,43|253,288|253,2608|253,2838|485,3684|551,1410|551,1553|551,1639|551,1763|551,3667|551,3926|554,3684|1042,1546|1042,1605|1042,1907|1042,2259|1042,2329|1042,2676|1042,2726|1042,2952|1042,3169|1042,3251|1042,3342|1042,3410|1161,1909
dementia 800,7838|1216,709
demiriz 34,1094|34,5114|34,6090|78,3029|78,4863|78,5761|78,7024|144,3161|144,8597|144,11757|144,17416|164,3758|164,4634|164,5008|307,5066|307,5942|307,6316|353,5066|353,5941|353,6527|389,2159|389,5144|389,6674|471,6580|482,4639|482,5514|482,6100|500,6370|500,8183|550,7766|550,19706|550,26862|680,3983|680,4751|680,10901|687,3716|707,14421|740,2595|743,9759|743,14029|743,16625|811,6520|811,9086|811,27232|820,2165|820,5150|820,6680|822,3268|836,11350|836,21349|1047,3446|1047,4634|1047,5008|1081,4648|1081,5992|1081,6633|1081,6968|1081,11905|1082,4639|1082,5515|1082,5889|1111,4885|1113,3436|1113,9710|1113,10649|1113,12137|1113,40366|1171,2880|1184,2593|1198,3029|1198,4863|1198,5761|1198,7417
demiroz 328,4019|825,4891
demm 588,917
demo 263,1127|1301,1266|1301,4779
democrat 277,5087|544,446|544,1497|874,1408|874,7345|874,8346|933,7978|982,2643
demograph 306,1190|331,457|405,1406|418,888|426,574|426,1252|585,2411|590,945|606,1190|612,1904|727,477|727,1155|834,380|834,1272|834,1611|1086,1553|1212,1295|1283,574|1283,1252
demoiselle14 280,1336
demonstr 8,1694|185,1481|234,1099|277,2375|311,883|361,883|426,4065|430,999|469,3503|530,1445|550,11526|552,11063|640,5181|707,25698|732,3782|775,3239|790,1028|800,9221|811,8949|811,21483|811,26500|860,4643|936,1009|982,4838|982,11199|1059,971|1108,1748|1108,2256|1111,17393|1113,45550|1235,11004|1283,4065|1300,768
demonstrate_structur 938,424
demospongia 329,43|329,98|329,130|329,151|329,180|329,202|329,230|731,3360|885,1032|885,1355|920,37|920,263|920,361|920,858|952,3528
dempster 368,7934|552,7254|776,4448|1033,7934|1279,4804
demsar 169,3738|936,2814
den 540,3190|686,2337|1271,2350
dendrobatida 184,2489
dendropsophu 184,2653
denek 1015,852|1015,3221
deng 550,2875|636,1361|743,7566|982,1556|1186,1520|1199,2765|1229,4822|1245,2446
deni 655,864|655,879|655,1100|655,1115|655,4797|655,5055
denial 694,1001
deniz 95,910|95,2260
denkmalpfleg 625,862
denmark 20,1187|20,1250|20,1415|20,1488|20,1614|20,1685|666,69|666,323|666,468|666,883|666,1036|666,1177
denni 62,507|78,2753|78,2860|112,5396|125,5154|183,2401|426,3332|520,1888|520,1995|530,524|694,537|743,7112|818,591|835,1888|835,1995|860,6789|1065,1166|1073,4100|1086,1124|1106,1035|1198,2753|1198,2860|1283,3332
denni63 360,828
denoeux 368,7888|552,7208|776,4402|1033,7888|1279,4758
denot 24,3527|48,2513|48,2620|97,2103|191,3809|198,3202|201,4559|225,1029|227,980|254,2462|256,1418|270,2643|270,2702|282,1577|282,1684|360,3137|360,3568|443,1048|478,9659|485,2162|507,1403|532,1180|539,1674|539,1726|552,8563|554,2162|559,2164|567,3693|707,7482|707,48649|766,1773|766,1820|860,3717|896,500|896,2047|976,5854|976,6879|1038,1350|1053,2164|1057,5713|1057,6703|1157,1424|1192,1577|1192,1684|1202,1973|1202,3430|1248,9659|1258,3777|1302,8139
denotesadam 256,8294|507,8279|1157,8300
denotesfloriana 933,5907
dens 234,4070|298,1833|298,1851|298,2990|322,14725|418,3504|550,5622|883,5022|1061,11267|1111,7255
densiti 33,2021|34,14320|78,7493|96,967|99,5860|112,4947|112,6450|122,1362|122,1556|122,1587|144,18588|188,1402|189,566|282,3016|293,9987|293,10757|315,3093|315,3107|315,3381|322,19023|328,5526|389,20740|418,1997|471,8342|471,14078|479,10515|479,11285|513,4844|559,21705|559,23802|563,10671|563,11441|605,3531|650,1951|673,3258|680,8444|680,9369|686,2343|707,17641|707,19992|707,43006|746,1738|746,4398|746,4475|746,9058|774,2142|801,2773|801,12977|811,13072|811,20684|811,20996|811,23298|820,13264|907,6087|930,5113|979,2079|982,20647|1032,8498|1032,9268|1053,14807|1053,22183|1058,1266|1058,1464|1058,1495|1061,15928|1073,3378|1102,1113|1113,39467|1124,6087|1178,2200|1179,532|1192,2586|1198,7886|1241,539|1262,2112|1280,1362|1280,1556|1280,1587
densityguido 99,6210
dental 576,3201|1091,2327
denver 259,8443|519,771|520,2294|835,2294|1110,825|1110,833|1191,825|1191,833
deogun 293,7610|293,10209|479,8294|479,10737|552,14316|552,24780|559,12789|559,22311|563,8294|563,10893|735,6045|776,6718|776,9351|933,9079|1032,7610|1032,8720|1053,13304|1053,22789
dep 140,925|851,1758|851,1890|851,2074|851,2618|851,2750|851,2934|851,3478|851,3610|851,3794|851,5062|851,5194|851,5378|851,5922|851,6054|851,6238|851,6782|851,6914|851,7098|851,8366|851,8498|851,8682|851,9226|851,9358|851,9542|851,10086|851,10218|851,10402|851,11658|851,11787|851,11968|851,12500|851,12629|851,12810|851,13342|851,13471|851,13652
